id,name,class,section,rollNo,fatherName,motherName,dateOfBirth,address,phone,schoolId,attendance,marks
1819,Anika Maharana,Class 4,C,1819,Mr. Aanya Maharana,Mrs. Navya Maharana,2015-08-28,"Village, Road 3, Khurda",9862283264,4,98,"{""social_science"": 89, ""hindi"": 70, ""odia"": 90, ""science"": 87, ""mathematics"": 58}"
1820,Inaya Patra,Class 7,D,1820,Mr. Ayaan Patra,Mrs. Anaya Patra,2013-02-07,"Village, Road 3, Khurda",9717821464,4,95,"{""computer_science"": 73, ""science"": 76, ""hindi"": 71, ""odia"": 67, ""mathematics"": 65, ""english"": 83}"
1821,Raghav Kumar,Class 4,C,1821,Mr. Kian Kumar,Mrs. Shivansh Kumar,2013-08-19,"Village, Road 3, Balasore",9979342637,4,82,"{""odia"": 63, ""science"": 91, ""hindi"": 55, ""computer_science"": 47, ""mathematics"": 73}"
1822,Samarth Samantaray,Class 9,D,1822,Mr. Saanvi Samantaray,Mrs. Vivaan Samantaray,2013-02-14,"Village, Street 2, Puri",9316557692,4,84,"{""mathematics"": 46, ""hindi"": 93, ""computer_science"": 68, ""science"": 60, ""social_science"": 92, ""english"": 60, ""odia"": 67}"
1823,Neil Nayak,Class 1,C,1823,Mr. Inaya Nayak,Mrs. Vivaan Nayak,2014-10-26,"Plot 123, Street 2, Mayurbhanj",9731532116,4,82,"{""science"": 79, ""hindi"": 92, ""mathematics"": 40}"
1824,Kian Lenka,Class 3,C,1824,Mr. Arnav Lenka,Mrs. Divyansh Lenka,2015-07-03,"House 456, Road 3, Puri",9812442337,4,95,"{""mathematics"": 57, ""social_science"": 62, ""science"": 87, ""computer_science"": 69}"
1825,Jai Singh,Class 5,A,1825,Mr. Avni Singh,Mrs. Khushi Singh,2013-07-28,"Plot 123, Street 2, Mayurbhanj",9587911819,4,75,"{""mathematics"": 76, ""hindi"": 60, ""computer_science"": 82, ""english"": 76, ""odia"": 62}"
1826,Atharv Mallick,Class 1,C,1826,Mr. Sai Mallick,Mrs. Vivaan Mallick,2011-03-18,"House 456, Road 3, Khurda",9938271475,4,77,"{""computer_science"": 40, ""mathematics"": 52, ""odia"": 56}"
1827,Myra Kumar,Class 3,A,1827,Mr. Neil Kumar,Mrs. Dev Kumar,2012-02-25,"Village, Lane 1, Puri",9667100920,4,95,"{""mathematics"": 76, ""english"": 83, ""hindi"": 92, ""science"": 42}"
1828,Kian Sahoo,Class 2,B,1828,Mr. Harsh Sahoo,Mrs. Aryan Sahoo,2012-05-31,"Plot 123, Road 3, Khurda",9167989225,4,92,"{""computer_science"": 82, ""english"": 68, ""social_science"": 60, ""odia"": 82}"
1829,Kian Dash,Class 7,B,1829,Mr. Myra Dash,Mrs. Vihaan Dash,2011-02-06,"Plot 123, Lane 1, Mayurbhanj",9908346927,4,80,"{""hindi"": 69, ""science"": 57, ""english"": 75, ""social_science"": 62, ""mathematics"": 43, ""computer_science"": 93}"
1830,Anaya Singh,Class 8,B,1830,Mr. Harsh Singh,Mrs. Arnav Singh,2012-10-08,"Plot 123, Street 2, Khurda",9251163025,4,87,"{""computer_science"": 64, ""english"": 61, ""mathematics"": 80, ""hindi"": 79, ""science"": 82, ""social_science"": 87, ""odia"": 55}"
1831,Jai Samantaray,Class 3,E,1831,Mr. Pari Samantaray,Mrs. Navya Samantaray,2014-04-23,"House 456, Street 2, Cuttack",9178956762,4,79,"{""mathematics"": 71, ""computer_science"": 60, ""science"": 87, ""english"": 55}"
1832,Prisha Sharma,Class 9,B,1832,Mr. Prisha Sharma,Mrs. Riya Sharma,2013-09-09,"Village, Street 2, Khurda",9155464893,4,80,"{""hindi"": 93, ""computer_science"": 75, ""odia"": 67, ""social_science"": 40, ""science"": 54, ""english"": 69, ""mathematics"": 83}"
1833,Reyansh Mishra,Class 8,E,1833,Mr. Aarav Mishra,Mrs. Abhinav Mishra,2014-12-02,"Village, Street 2, Balasore",9842402452,4,98,"{""english"": 47, ""hindi"": 70, ""mathematics"": 61, ""science"": 59, ""computer_science"": 41, ""odia"": 72, ""social_science"": 66}"
1834,Shivansh Biswal,Class 9,B,1834,Mr. Ayaan Biswal,Mrs. Shivansh Biswal,2015-06-27,"Village, Lane 1, Balasore",9634985226,4,91,"{""computer_science"": 85, ""odia"": 56, ""science"": 68, ""english"": 45, ""social_science"": 95, ""mathematics"": 49, ""hindi"": 67}"
1835,Vihaan Patra,Class 1,B,1835,Mr. Shaurya Patra,Mrs. Anika Patra,2011-02-10,"House 456, Road 3, Cuttack",9866663326,4,78,"{""odia"": 82, ""english"": 58, ""hindi"": 55}"
1836,Reyansh Singh,Class 2,E,1836,Mr. Kiaan Singh,Mrs. Jai Singh,2015-04-30,"Village, Street 2, Mayurbhanj",9807416371,4,82,"{""hindi"": 93, ""mathematics"": 48, ""english"": 75, ""social_science"": 90}"
1837,Prisha Das,Class 10,B,1837,Mr. Rudra Das,Mrs. Anika Das,2012-09-30,"House 456, Lane 1, Puri",9501396342,4,94,"{""hindi"": 62, ""social_science"": 84, ""computer_science"": 53, ""mathematics"": 82, ""science"": 83, ""odia"": 61, ""english"": 44}"
1838,Shanaya Sahoo,Class 10,B,1838,Mr. Inaya Sahoo,Mrs. Neil Sahoo,2010-12-19,"House 456, Road 3, Balasore",9429568373,4,82,"{""hindi"": 51, ""odia"": 62, ""mathematics"": 94, ""computer_science"": 53, ""science"": 84, ""english"": 84, ""social_science"": 68}"
1839,Abhinav Naik,Class 4,B,1839,Mr. Aryan Naik,Mrs. Aditya Naik,2014-11-17,"Plot 123, Lane 1, Puri",9444497284,4,79,"{""odia"": 78, ""hindi"": 77, ""mathematics"": 65, ""english"": 85, ""science"": 63}"
1840,Vedant Singh,Class 5,C,1840,Mr. Jai Singh,Mrs. Shivansh Singh,2013-11-23,"Plot 123, Lane 1, Puri",9387691612,4,85,"{""computer_science"": 63, ""mathematics"": 52, ""odia"": 85, ""english"": 85, ""social_science"": 71}"
1841,Pari Behera,Class 2,E,1841,Mr. Reyansh Behera,Mrs. Khushi Behera,2012-09-15,"House 456, Street 2, Puri",9131229675,4,80,"{""science"": 74, ""social_science"": 64, ""odia"": 93, ""english"": 73}"
1842,Aadhya Mishra,Class 10,D,1842,Mr. Pari Mishra,Mrs. Harsh Mishra,2014-03-19,"Plot 123, Street 2, Cuttack",9892764027,4,80,"{""odia"": 58, ""hindi"": 45, ""social_science"": 44, ""mathematics"": 81, ""english"": 50, ""computer_science"": 76, ""science"": 94}"
1843,Jai Sahu,Class 5,C,1843,Mr. Anaya Sahu,Mrs. Samarth Sahu,2011-08-01,"House 456, Road 3, Mayurbhanj",9740713569,4,85,"{""social_science"": 61, ""computer_science"": 51, ""science"": 57, ""mathematics"": 80, ""odia"": 51}"
1844,Pihu Mallick,Class 10,A,1844,Mr. Vivaan Mallick,Mrs. Anaya Mallick,2011-05-20,"Plot 123, Road 3, Khurda",9331566328,4,79,"{""mathematics"": 85, ""computer_science"": 68, ""science"": 47, ""social_science"": 90, ""hindi"": 72, ""english"": 89, ""odia"": 93}"
1845,Aadhya Senapati,Class 3,A,1845,Mr. Inaya Senapati,Mrs. Vedant Senapati,2011-01-15,"Village, Lane 1, Mayurbhanj",9844398922,4,88,"{""computer_science"": 45, ""mathematics"": 91, ""odia"": 85, ""english"": 58}"
1846,Krishna Nayak,Class 8,B,1846,Mr. Kiaan Nayak,Mrs. Anaya Nayak,2012-11-22,"Village, Road 3, Khurda",9144473607,4,76,"{""odia"": 85, ""science"": 58, ""mathematics"": 62, ""computer_science"": 43, ""social_science"": 89, ""hindi"": 65, ""english"": 47}"
1847,Arnav Mohanty,Class 7,B,1847,Mr. Sai Mohanty,Mrs. Kiaan Mohanty,2012-03-26,"House 456, Lane 1, Khurda",9791914602,4,91,"{""odia"": 54, ""science"": 92, ""mathematics"": 46, ""computer_science"": 51, ""hindi"": 67, ""social_science"": 71}"
1848,Harsh Dash,Class 3,E,1848,Mr. Divyansh Dash,Mrs. Abhinav Dash,2012-07-29,"House 456, Road 3, Balasore",9156205071,4,75,"{""odia"": 72, ""mathematics"": 47, ""hindi"": 57, ""science"": 44}"
1849,Navya Singh,Class 5,B,1849,Mr. Aadhya Singh,Mrs. Jai Singh,2012-10-03,"Plot 123, Street 2, Puri",9826564416,4,80,"{""mathematics"": 91, ""odia"": 52, ""english"": 43, ""computer_science"": 66, ""science"": 65}"
1850,Pari Parida,Class 2,D,1850,Mr. Ishaan Parida,Mrs. Pari Parida,2015-01-31,"Plot 123, Street 2, Mayurbhanj",9991625908,4,78,"{""social_science"": 48, ""computer_science"": 47, ""hindi"": 89, ""science"": 65}"
1851,Om Naik,Class 1,B,1851,Mr. Divyansh Naik,Mrs. Aarav Naik,2013-10-28,"Village, Street 2, Khurda",9868046039,4,93,"{""social_science"": 56, ""english"": 51, ""computer_science"": 72}"
1852,Anika Tripathy,Class 1,C,1852,Mr. Myra Tripathy,Mrs. Aditya Tripathy,2010-12-26,"Plot 123, Road 3, Mayurbhanj",9507534206,4,77,"{""social_science"": 61, ""science"": 58, ""computer_science"": 91}"
1853,Raghav Jena,Class 4,B,1853,Mr. Vihaan Jena,Mrs. Abhinav Jena,2014-05-24,"House 456, Street 2, Balasore",9555206067,4,84,"{""mathematics"": 54, ""english"": 72, ""hindi"": 65, ""science"": 47, ""social_science"": 54}"
1854,Arnav Parida,Class 4,D,1854,Mr. Neil Parida,Mrs. Shanaya Parida,2014-11-29,"Village, Street 2, Mayurbhanj",9428380257,4,80,"{""social_science"": 50, ""science"": 46, ""english"": 51, ""computer_science"": 57, ""hindi"": 84}"
1855,Shaurya Samantaray,Class 7,E,1855,Mr. Vedant Samantaray,Mrs. Samarth Samantaray,2014-06-24,"Village, Lane 1, Balasore",9256551291,4,84,"{""english"": 85, ""science"": 87, ""computer_science"": 75, ""hindi"": 40, ""odia"": 71, ""mathematics"": 72}"
1856,Rishabh Sahoo,Class 1,B,1856,Mr. Aditya Sahoo,Mrs. Prisha Sahoo,2012-07-23,"Village, Lane 1, Balasore",9812863293,4,88,"{""mathematics"": 42, ""hindi"": 48, ""computer_science"": 60}"
1857,Khushi Patel,Class 6,C,1857,Mr. Vedant Patel,Mrs. Kian Patel,2014-03-25,"Village, Lane 1, Balasore",9806508634,4,82,"{""odia"": 66, ""science"": 87, ""social_science"": 68, ""computer_science"": 45, ""mathematics"": 53, ""english"": 52}"
1858,Ishaan Senapati,Class 8,A,1858,Mr. Arnav Senapati,Mrs. Om Senapati,2013-10-14,"Village, Lane 1, Puri",9658044436,4,84,"{""science"": 93, ""computer_science"": 52, ""english"": 73, ""social_science"": 52, ""hindi"": 49, ""mathematics"": 43, ""odia"": 57}"
1859,Krishna Lenka,Class 10,B,1859,Mr. Samarth Lenka,Mrs. Diya Lenka,2015-02-25,"Village, Street 2, Balasore",9576929919,4,79,"{""odia"": 56, ""mathematics"": 90, ""hindi"": 71, ""science"": 95, ""english"": 74, ""computer_science"": 86, ""social_science"": 72}"
1860,Aarav Nayak,Class 6,D,1860,Mr. Samarth Nayak,Mrs. Atharv Nayak,2013-10-21,"Village, Street 2, Khurda",9793401288,4,84,"{""science"": 68, ""hindi"": 55, ""computer_science"": 85, ""mathematics"": 40, ""english"": 51, ""social_science"": 41}"
1861,Avni Senapati,Class 8,E,1861,Mr. Jai Senapati,Mrs. Ishaan Senapati,2013-07-22,"House 456, Lane 1, Mayurbhanj",9862265179,4,80,"{""science"": 74, ""odia"": 71, ""mathematics"": 90, ""english"": 89, ""hindi"": 78, ""computer_science"": 67, ""social_science"": 71}"
1862,Jai Sahu,Class 5,D,1862,Mr. Arnav Sahu,Mrs. Ishaan Sahu,2015-03-29,"House 456, Lane 1, Balasore",9460961044,4,97,"{""computer_science"": 59, ""hindi"": 60, ""science"": 87, ""social_science"": 48, ""mathematics"": 56}"
1863,Neil Patra,Class 9,C,1863,Mr. Harsh Patra,Mrs. Aryan Patra,2010-09-29,"Plot 123, Road 3, Mayurbhanj",9253147772,4,89,"{""computer_science"": 42, ""science"": 81, ""hindi"": 86, ""social_science"": 54, ""odia"": 68, ""english"": 40, ""mathematics"": 91}"
1864,Atharv Singh,Class 6,A,1864,Mr. Atharv Singh,Mrs. Darsh Singh,2015-04-01,"Plot 123, Street 2, Cuttack",9677682795,4,95,"{""social_science"": 49, ""odia"": 42, ""hindi"": 59, ""mathematics"": 67, ""science"": 47, ""computer_science"": 52}"
1865,Kavya Tripathy,Class 5,C,1865,Mr. Ishaan Tripathy,Mrs. Darsh Tripathy,2015-09-01,"House 456, Street 2, Balasore",9257258415,4,93,"{""computer_science"": 57, ""hindi"": 55, ""mathematics"": 80, ""odia"": 83, ""social_science"": 72}"
1866,Navya Mishra,Class 9,B,1866,Mr. Raghav Mishra,Mrs. Vedant Mishra,2012-02-03,"Village, Street 2, Puri",9632956149,4,79,"{""hindi"": 71, ""odia"": 82, ""social_science"": 59, ""mathematics"": 56, ""english"": 48, ""science"": 69, ""computer_science"": 91}"
1867,Arnav Barik,Class 8,C,1867,Mr. Pihu Barik,Mrs. Daksh Barik,2011-11-25,"House 456, Road 3, Balasore",9969083236,4,91,"{""science"": 69, ""mathematics"": 72, ""computer_science"": 74, ""odia"": 74, ""social_science"": 45, ""english"": 73, ""hindi"": 65}"
1868,Rudra Nayak,Class 1,C,1868,Mr. Avni Nayak,Mrs. Anaya Nayak,2013-01-23,"Village, Road 3, Balasore",9842846878,4,94,"{""english"": 46, ""mathematics"": 83, ""hindi"": 65}"
1869,Shivansh Kar,Class 5,C,1869,Mr. Aadhya Kar,Mrs. Reyansh Kar,2013-05-18,"Village, Lane 1, Cuttack",9317650907,4,88,"{""computer_science"": 42, ""hindi"": 85, ""odia"": 85, ""mathematics"": 67, ""english"": 40}"
1870,Atharv Jena,Class 3,E,1870,Mr. Inaya Jena,Mrs. Inaya Jena,2012-02-02,"Village, Lane 1, Puri",9554802233,4,89,"{""hindi"": 50, ""social_science"": 46, ""science"": 65, ""computer_science"": 82}"
1871,Vedant Naik,Class 7,B,1871,Mr. Khushi Naik,Mrs. Saanvi Naik,2012-09-05,"House 456, Road 3, Mayurbhanj",9611860506,4,82,"{""science"": 89, ""hindi"": 60, ""computer_science"": 72, ""english"": 44, ""odia"": 84, ""social_science"": 86}"
1872,Aditya Sahoo,Class 4,E,1872,Mr. Aditya Sahoo,Mrs. Pihu Sahoo,2015-04-08,"Plot 123, Road 3, Khurda",9796060263,4,92,"{""english"": 92, ""social_science"": 91, ""computer_science"": 77, ""hindi"": 65, ""odia"": 75}"
1873,Aryan Parida,Class 7,E,1873,Mr. Arnav Parida,Mrs. Yash Parida,2015-07-03,"Village, Street 2, Balasore",9656129231,4,96,"{""computer_science"": 71, ""english"": 82, ""hindi"": 68, ""mathematics"": 66, ""odia"": 77, ""social_science"": 89}"
1874,Prisha Patra,Class 1,B,1874,Mr. Inaya Patra,Mrs. Myra Patra,2012-07-23,"Village, Road 3, Cuttack",9879346528,4,76,"{""social_science"": 88, ""hindi"": 74, ""odia"": 46}"
1875,Raghav Singh,Class 9,D,1875,Mr. Inaya Singh,Mrs. Arjun Singh,2014-10-20,"Village, Road 3, Mayurbhanj",9920080376,4,80,"{""mathematics"": 75, ""odia"": 67, ""english"": 46, ""computer_science"": 47, ""social_science"": 93, ""hindi"": 87, ""science"": 48}"
1876,Kian Nayak,Class 3,D,1876,Mr. Avni Nayak,Mrs. Kiaan Nayak,2013-07-03,"House 456, Lane 1, Khurda",9231070120,4,92,"{""computer_science"": 42, ""social_science"": 80, ""english"": 47, ""odia"": 80}"
1877,Atharv Nayak,Class 4,A,1877,Mr. Riya Nayak,Mrs. Shanaya Nayak,2014-01-07,"Plot 123, Lane 1, Puri",9601307308,4,89,"{""english"": 53, ""computer_science"": 85, ""social_science"": 61, ""mathematics"": 41, ""odia"": 72}"
1878,Arjun Behera,Class 6,A,1878,Mr. Kabir Behera,Mrs. Saanvi Behera,2010-12-31,"Village, Road 3, Cuttack",9292769838,4,98,"{""english"": 65, ""mathematics"": 77, ""social_science"": 79, ""odia"": 57, ""computer_science"": 53, ""hindi"": 52}"
1879,Ishaan Swain,Class 3,B,1879,Mr. Kian Swain,Mrs. Aadhya Swain,2013-05-11,"Plot 123, Lane 1, Balasore",9792159327,4,87,"{""odia"": 69, ""science"": 81, ""mathematics"": 70, ""computer_science"": 81}"
1880,Sai Kumar,Class 2,C,1880,Mr. Atharv Kumar,Mrs. Arnav Kumar,2010-10-13,"Village, Street 2, Khurda",9714939983,4,79,"{""hindi"": 56, ""mathematics"": 88, ""english"": 66, ""science"": 77}"
1881,Samarth Senapati,Class 9,B,1881,Mr. Vivaan Senapati,Mrs. Harsh Senapati,2014-02-01,"House 456, Road 3, Balasore",9313375687,4,76,"{""science"": 79, ""english"": 87, ""odia"": 74, ""mathematics"": 42, ""computer_science"": 41, ""social_science"": 90, ""hindi"": 80}"
1882,Pihu Kar,Class 5,E,1882,Mr. Rishabh Kar,Mrs. Kavya Kar,2014-04-03,"Village, Lane 1, Balasore",9199838881,4,90,"{""odia"": 82, ""english"": 81, ""science"": 49, ""hindi"": 71, ""computer_science"": 49}"
1883,Dev Pradhan,Class 9,E,1883,Mr. Arnav Pradhan,Mrs. Yash Pradhan,2014-09-29,"House 456, Road 3, Balasore",9918200119,4,84,"{""science"": 70, ""hindi"": 73, ""english"": 61, ""computer_science"": 62, ""social_science"": 73, ""odia"": 80, ""mathematics"": 95}"
1884,Aditya Biswal,Class 10,E,1884,Mr. Navya Biswal,Mrs. Pihu Biswal,2013-08-25,"Village, Lane 1, Mayurbhanj",9254520752,4,78,"{""english"": 88, ""hindi"": 68, ""mathematics"": 83, ""odia"": 66, ""science"": 72, ""social_science"": 62, ""computer_science"": 63}"
1885,Diya Barik,Class 8,A,1885,Mr. Pihu Barik,Mrs. Aanya Barik,2014-12-12,"Village, Street 2, Mayurbhanj",9553809445,4,75,"{""hindi"": 48, ""science"": 66, ""english"": 86, ""computer_science"": 52, ""social_science"": 55, ""odia"": 63, ""mathematics"": 52}"
1886,Rudra Behera,Class 1,B,1886,Mr. Myra Behera,Mrs. Khushi Behera,2013-10-11,"Village, Road 3, Balasore",9531521837,4,94,"{""odia"": 59, ""english"": 40, ""science"": 89}"
1887,Arnav Lenka,Class 9,E,1887,Mr. Arjun Lenka,Mrs. Reyansh Lenka,2012-01-25,"House 456, Street 2, Mayurbhanj",9547926895,4,98,"{""mathematics"": 43, ""science"": 85, ""social_science"": 67, ""odia"": 87, ""english"": 40, ""hindi"": 69, ""computer_science"": 72}"
1888,Harsh Senapati,Class 10,D,1888,Mr. Sai Senapati,Mrs. Jai Senapati,2015-04-12,"House 456, Lane 1, Cuttack",9385823626,4,85,"{""odia"": 68, ""social_science"": 90, ""mathematics"": 76, ""hindi"": 54, ""science"": 81, ""computer_science"": 45, ""english"": 49}"
1889,Pihu Pradhan,Class 3,E,1889,Mr. Diya Pradhan,Mrs. Om Pradhan,2015-04-16,"Plot 123, Street 2, Khurda",9330112673,4,94,"{""mathematics"": 54, ""hindi"": 68, ""computer_science"": 87, ""social_science"": 53}"
1890,Prisha Sharma,Class 4,D,1890,Mr. Ayaan Sharma,Mrs. Neil Sharma,2012-06-23,"Village, Lane 1, Khurda",9205241403,4,85,"{""hindi"": 62, ""english"": 75, ""computer_science"": 88, ""mathematics"": 50, ""odia"": 94}"
1891,Shanaya Mohapatra,Class 6,E,1891,Mr. Rudra Mohapatra,Mrs. Khushi Mohapatra,2010-11-28,"Village, Lane 1, Khurda",9582448366,4,78,"{""english"": 69, ""social_science"": 66, ""mathematics"": 87, ""science"": 85, ""computer_science"": 49, ""odia"": 64}"
1892,Krishna Sahu,Class 7,C,1892,Mr. Krishna Sahu,Mrs. Vedant Sahu,2011-05-04,"House 456, Street 2, Balasore",9532014272,4,95,"{""english"": 41, ""science"": 55, ""hindi"": 45, ""mathematics"": 63, ""computer_science"": 88, ""social_science"": 67}"
1893,Pari Mohanty,Class 6,E,1893,Mr. Aarav Mohanty,Mrs. Dev Mohanty,2011-12-16,"Village, Lane 1, Khurda",9180218797,4,76,"{""odia"": 79, ""english"": 87, ""social_science"": 45, ""computer_science"": 94, ""mathematics"": 95, ""science"": 62}"
1894,Abhinav Sharma,Class 10,A,1894,Mr. Krishna Sharma,Mrs. Navya Sharma,2012-02-21,"Village, Lane 1, Puri",9366959828,4,76,"{""english"": 88, ""science"": 44, ""computer_science"": 91, ""odia"": 51, ""hindi"": 40, ""mathematics"": 76, ""social_science"": 61}"
1895,Kavya Mohanty,Class 10,B,1895,Mr. Shaurya Mohanty,Mrs. Kabir Mohanty,2011-03-31,"Village, Lane 1, Khurda",9271874626,4,76,"{""social_science"": 68, ""odia"": 61, ""science"": 81, ""english"": 74, ""hindi"": 82, ""mathematics"": 78, ""computer_science"": 77}"
1896,Ayaan Senapati,Class 10,B,1896,Mr. Ayaan Senapati,Mrs. Kian Senapati,2015-07-25,"House 456, Street 2, Puri",9984239327,4,92,"{""english"": 77, ""social_science"": 88, ""computer_science"": 53, ""mathematics"": 50, ""odia"": 58, ""science"": 86, ""hindi"": 85}"
1897,Shivansh Senapati,Class 6,C,1897,Mr. Vedant Senapati,Mrs. Om Senapati,2010-12-14,"Plot 123, Lane 1, Khurda",9236380363,4,80,"{""computer_science"": 86, ""odia"": 78, ""hindi"": 78, ""social_science"": 80, ""english"": 47, ""mathematics"": 87}"
1898,Avni Rout,Class 8,C,1898,Mr. Om Rout,Mrs. Prisha Rout,2015-07-26,"Plot 123, Street 2, Mayurbhanj",9292507370,4,86,"{""mathematics"": 50, ""social_science"": 80, ""hindi"": 74, ""science"": 92, ""computer_science"": 83, ""english"": 47, ""odia"": 49}"
1899,Divyansh Sahoo,Class 7,B,1899,Mr. Pari Sahoo,Mrs. Aryan Sahoo,2015-05-23,"Plot 123, Road 3, Khurda",9205597531,4,78,"{""odia"": 40, ""hindi"": 90, ""mathematics"": 51, ""social_science"": 49, ""english"": 51, ""science"": 45}"
1900,Om Nayak,Class 1,A,1900,Mr. Khushi Nayak,Mrs. Aanya Nayak,2012-02-17,"Plot 123, Lane 1, Cuttack",9998082409,4,76,"{""hindi"": 54, ""computer_science"": 82, ""science"": 94}"
1901,Shanaya Samantaray,Class 8,D,1901,Mr. Arjun Samantaray,Mrs. Rishabh Samantaray,2013-09-21,"House 456, Street 2, Mayurbhanj",9399077807,4,78,"{""social_science"": 52, ""hindi"": 41, ""computer_science"": 67, ""science"": 55, ""odia"": 60, ""mathematics"": 79, ""english"": 46}"
1902,Myra Mallick,Class 2,A,1902,Mr. Reyansh Mallick,Mrs. Neil Mallick,2011-03-21,"Village, Street 2, Mayurbhanj",9951447688,4,87,"{""computer_science"": 42, ""mathematics"": 45, ""hindi"": 47, ""science"": 89}"
1903,Khushi Barik,Class 2,B,1903,Mr. Vihaan Barik,Mrs. Ayaan Barik,2013-11-19,"Village, Street 2, Puri",9850098439,4,91,"{""social_science"": 76, ""mathematics"": 75, ""odia"": 87, ""science"": 94}"
1904,Atharv Mohapatra,Class 9,D,1904,Mr. Aditya Mohapatra,Mrs. Kian Mohapatra,2012-09-10,"Village, Road 3, Cuttack",9379493576,4,98,"{""social_science"": 81, ""science"": 62, ""hindi"": 88, ""computer_science"": 82, ""english"": 57, ""mathematics"": 47, ""odia"": 76}"
1905,Arjun Parida,Class 8,A,1905,Mr. Sai Parida,Mrs. Khushi Parida,2012-03-13,"House 456, Street 2, Mayurbhanj",9858664961,4,91,"{""english"": 76, ""computer_science"": 50, ""social_science"": 43, ""odia"": 75, ""hindi"": 56, ""science"": 84, ""mathematics"": 69}"
1906,Neil Barik,Class 3,D,1906,Mr. Ishaan Barik,Mrs. Anika Barik,2015-03-25,"Village, Street 2, Balasore",9666927382,4,82,"{""social_science"": 68, ""odia"": 68, ""science"": 57, ""computer_science"": 63}"
1907,Krishna Maharana,Class 5,C,1907,Mr. Reyansh Maharana,Mrs. Pihu Maharana,2012-02-15,"House 456, Street 2, Cuttack",9323475572,4,86,"{""mathematics"": 42, ""english"": 91, ""odia"": 68, ""computer_science"": 53, ""hindi"": 43}"
1908,Prisha Tripathy,Class 6,E,1908,Mr. Harsh Tripathy,Mrs. Harsh Tripathy,2013-12-25,"Village, Street 2, Mayurbhanj",9205780413,4,76,"{""science"": 79, ""computer_science"": 86, ""english"": 43, ""mathematics"": 72, ""odia"": 53, ""social_science"": 86}"
1909,Rishabh Tripathy,Class 6,E,1909,Mr. Yash Tripathy,Mrs. Atharv Tripathy,2015-04-19,"House 456, Lane 1, Cuttack",9472447939,4,77,"{""hindi"": 56, ""computer_science"": 64, ""mathematics"": 90, ""science"": 87, ""social_science"": 71, ""odia"": 61}"
1910,Om Kar,Class 1,C,1910,Mr. Avni Kar,Mrs. Aanya Kar,2012-10-30,"Plot 123, Lane 1, Balasore",9643990604,4,75,"{""hindi"": 74, ""odia"": 45, ""english"": 42}"
1911,Diya Pradhan,Class 8,B,1911,Mr. Ishaan Pradhan,Mrs. Kiaan Pradhan,2013-07-27,"Plot 123, Street 2, Mayurbhanj",9219685199,4,84,"{""science"": 71, ""hindi"": 82, ""social_science"": 57, ""odia"": 81, ""english"": 75, ""mathematics"": 91, ""computer_science"": 72}"
1912,Kiaan Kumar,Class 1,A,1912,Mr. Aryan Kumar,Mrs. Divyansh Kumar,2013-09-26,"House 456, Lane 1, Khurda",9685996672,4,84,"{""hindi"": 90, ""mathematics"": 75, ""computer_science"": 75}"
1913,Aarav Mishra,Class 7,B,1913,Mr. Divyansh Mishra,Mrs. Shivansh Mishra,2011-04-11,"Plot 123, Road 3, Puri",9668792928,4,82,"{""odia"": 62, ""english"": 77, ""computer_science"": 76, ""hindi"": 67, ""social_science"": 87, ""science"": 86}"
1914,Samarth Naik,Class 2,E,1914,Mr. Vihaan Naik,Mrs. Divyansh Naik,2010-12-15,"Plot 123, Road 3, Mayurbhanj",9762169924,4,87,"{""odia"": 74, ""social_science"": 40, ""hindi"": 51, ""english"": 66}"
1915,Aarav Mishra,Class 2,A,1915,Mr. Sai Mishra,Mrs. Raghav Mishra,2015-07-24,"House 456, Lane 1, Mayurbhanj",9466216980,4,89,"{""hindi"": 79, ""computer_science"": 70, ""mathematics"": 89, ""odia"": 87}"
1916,Kiaan Maharana,Class 1,E,1916,Mr. Vihaan Maharana,Mrs. Vihaan Maharana,2013-11-30,"House 456, Road 3, Khurda",9819154494,4,89,"{""social_science"": 44, ""science"": 85, ""computer_science"": 40}"
1917,Samarth Maharana,Class 6,E,1917,Mr. Shaurya Maharana,Mrs. Inaya Maharana,2012-12-16,"Village, Street 2, Khurda",9622803787,4,89,"{""computer_science"": 85, ""science"": 50, ""mathematics"": 40, ""hindi"": 62, ""english"": 81, ""odia"": 67}"
1918,Myra Mallick,Class 4,A,1918,Mr. Arnav Mallick,Mrs. Pari Mallick,2014-07-11,"Village, Street 2, Khurda",9225188106,4,87,"{""social_science"": 88, ""science"": 72, ""computer_science"": 47, ""english"": 94, ""mathematics"": 44}"
1919,Daksh Kar,Class 8,C,1919,Mr. Anika Kar,Mrs. Dev Kar,2013-02-07,"Village, Road 3, Balasore",9401586306,4,88,"{""computer_science"": 93, ""hindi"": 88, ""science"": 79, ""social_science"": 76, ""english"": 83, ""odia"": 70, ""mathematics"": 66}"
1920,Myra Nayak,Class 5,A,1920,Mr. Arjun Nayak,Mrs. Kiaan Nayak,2013-07-05,"Village, Road 3, Khurda",9111876331,4,91,"{""social_science"": 84, ""hindi"": 92, ""mathematics"": 70, ""computer_science"": 85, ""english"": 43}"
